Question,Question Text,A,B,C,D,E,Your Answer,Correct,Points,Domain
Q1,"A company runs an application in a private subnet behind an Application Load Balancer (ALB) in a VPC. The VPC has a NAT gateway and an internet gateway. The application calls the Amazon S3 API to store objects. According to the company's security policy, traffic from the application must not travel across the internet. Which solution will meet these requirements MOST cost-effectively? outbound traffic to Amazon S3. endpoint. assigned to the NAT gateway. is deployed. Update the VPC route table to use the second NAT gateway.",Configure an S3 interface endpoint. Create a security group that allows,Configure an S3 gateway endpoint. Update the VPC route table to use the,Configure an S3 bucket policy to allow traffic from the Elastic IP address that is,Create a second NAT gateway in the same subnet where the legacy application,,,B,"=IF(H2=I2,1,0)",Design Secure Architectures
Q2,A company has an on-premises SFTP file transfer solution. The company is migrating to the AWS Cloud to scale the file transfer solution and to optimize costs by using Amazon S3. The company's employees will use their credentials for the on-premises Microsoft Active Directory (AD) to access the new solution. The company wants to keep the current authentication and file access mechanisms. Which solution will meet these requirements with the LEAST operational overhead? use the existing Active Directory to authenticate. solution. Configure the group to scale up at 60% CPU utilization. 519 Global IT Certification Hub Directory Service option as the identity provider. Use AD Connector to connect the on-premises Active Directory. the AWS Directory Service option as the identity provider to connect to the existing Active Directory.,Configure an S3 File Gateway. Create SMB file shares on the file gateway that,Configure an Auto Scaling group with Amazon EC2 instances to run an SFTP,Create an AWS Transfer Family server with SFTP endpoints. Choose the AWS,Create an AWS Transfer Family SFTP endpoint. Configure the endpoint to use,,,C,"=IF(H3=I3,1,0)",Design Cost-Optimized Architectures
Q3,A company deployed a serverless application that uses Amazon DynamoDB as a database layer. The application has experienced a large increase in users. The company wants to improve database response time from milliseconds to microseconds and to cache requests to the database. Which solution will meet these requirements with the LEAST operational overhead?,Use DynamoDB Accelerator (DAX).,Migrate the database to Amazon Redshift.,Migrate the database to Amazon RDS.,Use Amazon ElastiCache for Redis.,,,A,"=IF(H4=I4,1,0)",Design High-Performing Architectures
Q4,"A company serves its website by using an Auto Scaling group of Amazon EC2 instances in a single AWS Region. The website does not require a database. The company is expanding, and the company's engineering team deploys the website to a second Region. The company wants to distribute traffic across both Regions to accommodate growth and for disaster recovery purposes. The solution should not serve traffic from a Region in which the website is unhealthy. Which policy or resource should the company use to meet these requirements? the EC2 instance IDs from both Regions the IP addresses of the EC2 instances from both Regions",An Amazon Route 53 simple routing policy,An Amazon Route 53 multivalue answer routing policy,An Application Load Balancer in one Region with a target group that specifies,An Application Load Balancer in one Region with a target group that specifies,,,B,"=IF(H5=I5,1,0)",Design Resilient Architectures
Q5,A company has a regional subscription-based streaming service that runs in a single AWS Region. The architecture consists of web servers and application servers on Amazon EC2 instances. The EC2 instances are in Auto Scaling groups behind Elastic Load Balancers. The architecture includes an Amazon Aurora global database cluster that extends across multiple Availability Zones. The company wants to expand globally and to ensure that its application has minimal downtime. Which solution will provide the MOST fault tolerance? deploy instances in Availability Zones in a second Region. Use an Aurora global database to deploy the database in the primary Region and the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. PostgreSQL cross-Region Aurora Replica in the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote the secondary to primary as needed. Aurora PostgreSQL database in the second Region. Use AWS Database Migration Service (AWS DMS) to replicate the primary database to the second Region. Use 331 Global IT Certification Hub Amazon Route 53 health checks with a failover routing policy to the second Region. Amazon Aurora global database to deploy the database in the primary Region and the second Region. Use Amazon Route 53 health checks with a failover routing policy to the second Region. Promote the secondary to primary as needed.,Extend the Auto Scaling groups for the web tier and the application tier to,Deploy the web tier and the application tier to a second Region. Add an Aurora,Deploy the web tier and the application tier to a second Region. Create an,Deploy the web tier and the application tier to a second Region. Use an,,,D,"=IF(H6=I6,1,0)",Design Resilient Architectures
Q6,A company hosts an application on Amazon EC2 On-Demand Instances in an Auto Scaling group. Application peak hours occur at the same time each day. Application users report slow application performance at the start of peak hours. The application performs normally 2-3 hours after peak hours begin. The company wants to ensure that the application works properly at the start of peak hours. Which solution will meet these requirements? instances. 410 Global IT Certification Hub instances based on memory utilization. instances based on CPU utilization. instances before peak hours.,Configure an Application Load Balancer to distribute traffic properly to the,Configure a dynamic scaling policy for the Auto Scaling group to launch new,Configure a dynamic scaling policy for the Auto Scaling group to launch new,Configure a scheduled scaling policy for the Auto Scaling group to launch new,,,D,"=IF(H7=I7,1,0)",Design High-Performing Architectures
Q7,"A company uses Amazon EC2, AWS Fargate, and AWS Lambda to run multiple workloads in the company's AWS account. The company wants to fully make use of its Compute Savings Plans. The company wants to receive notification when coverage of the Compute Savings Plans drops. Which solution will meet these requirements with the MOST operational efficiency? the budget with a coverage threshold to send notifications to the appropriate email message recipients. Plans. Use Amazon Simple Email Service (Amazon SES) to email the report to the appropriate email message recipients. to daily. an email address to receive notifications.",Create a daily budget for the Savings Plans by using AWS Budgets. Configure,Create a Lambda function that runs a coverage report against the Savings,Create an AWS Budgets report for the Savings Plans budget. Set the frequency,Create a Savings Plans alert subscription. Enable all notification options. Enter,,,A,"=IF(H8=I8,1,0)",Design Cost-Optimized Architectures
Q8,A company is migrating its on-premises Oracle database to an Amazon RDS for Oracle database. The company needs to retain data for 90 days to meet regulatory requirements. The company must also be able to restore the database to a specific point in time for up to 14 days. Which solution will meet these requirements with the LEAST operational overhead? that are older than 90 days. restore. Delete clones that are older than 90 days. Backup for Amazon RDS.,Create Amazon RDS automated backups. Set the retention period to 90 days.,Create an Amazon RDS manual snapshot every day. Delete manual snapshots,Use the Amazon Aurora Clone feature for Oracle to create a point-in-time,Create a backup plan that has a retention period of 90 days by using AWS,,,D,"=IF(H9=I9,1,0)",Design Resilient Architectures
Q9,A company has an application that runs on several Amazon EC2 instances. Each EC2 instance has multiple Amazon Elastic Block Store (Amazon EBS) data volumes attached to it. The application's EC2 instance configuration and data need to be backed up nightly. The application also needs to be recoverable in a different AWS Region. Which solution will meet these requirements in the MOST operationally efficient way? application's EBS volumes and copies the snapshots to a different Region. the backups to another Region. Add the application's EC2 instances as resources. 193 Global IT Certification Hub the backups to another Region. Add the application's EBS volumes as resources. application's EBS volumes and copies the snapshots to a different Availability Zone.,Write an AWS Lambda function that schedules nightly snapshots of the,Create a backup plan by using AWS Backup to perform nightly backups. Copy,Create a backup plan by using AWS Backup to perform nightly backups. Copy,Write an AWS Lambda function that schedules nightly snapshots of the,,,B,"=IF(H10=I10,1,0)",Design Resilient Architectures
Q10,A company runs a three-tier web application in a VPC across multiple Availability Zones. Amazon EC2 instances run in an Auto Scaling group for the application tier. The company needs to make an automated scaling plan that will analyze each resource's daily and weekly historical workload trends. The configuration must scale resources appropriately according to both the forecast and live changes in utilization. Which scaling strategy should a solutions architect recommend to meet these requirements? from the EC2 instances. target tracking the web application. 453 Global IT Certification Hub instance startup time.,Implement dynamic scaling with step scaling based on average CPU utilization,Enable predictive scaling to forecast and scale. Configure dynamic scaling with,Create an automated scheduled scaling action based on the traffic patterns of,Set up a simple scaling policy. Increase the cooldown period based on the EC2,,,B,"=IF(H11=I11,1,0)",Design Secure Architectures
