Question,Correct Answer,All Options,Domain,Explanation
Q1,B,A. Configure an S3 interface endpoint. Create a security group that allows | B. Configure an S3 gateway endpoint. Update the VPC route table to use the | C. Configure an S3 bucket policy to allow traffic from the Elastic IP address that is | D. Create a second NAT gateway in the same subnet where the legacy application,Design Secure Architectures,Refer to AWS documentation and best practices
Q2,C,A. Configure an S3 File Gateway. Create SMB file shares on the file gateway that | B. Configure an Auto Scaling group with Amazon EC2 instances to run an SFTP | C. Create an AWS Transfer Family server with SFTP endpoints. Choose the AWS | D. Create an AWS Transfer Family SFTP endpoint. Configure the endpoint to use,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q3,A,A. Use DynamoDB Accelerator (DAX). | B. Migrate the database to Amazon Redshift. | C. Migrate the database to Amazon RDS. | D. Use Amazon ElastiCache for Redis.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q4,B,A. An Amazon Route 53 simple routing policy | B. An Amazon Route 53 multivalue answer routing policy | C. An Application Load Balancer in one Region with a target group that specifies | D. An Application Load Balancer in one Region with a target group that specifies,Design Resilient Architectures,Refer to AWS documentation and best practices
Q5,D,A. Extend the Auto Scaling groups for the web tier and the application tier to | B. Deploy the web tier and the application tier to a second Region. Add an Aurora | C. Deploy the web tier and the application tier to a second Region. Create an | D. Deploy the web tier and the application tier to a second Region. Use an,Design Resilient Architectures,Refer to AWS documentation and best practices
Q6,D,A. Configure an Application Load Balancer to distribute traffic properly to the | B. Configure a dynamic scaling policy for the Auto Scaling group to launch new | C. Configure a dynamic scaling policy for the Auto Scaling group to launch new | D. Configure a scheduled scaling policy for the Auto Scaling group to launch new,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q7,A,A. Create a daily budget for the Savings Plans by using AWS Budgets. Configure | B. Create a Lambda function that runs a coverage report against the Savings | C. Create an AWS Budgets report for the Savings Plans budget. Set the frequency | D. Create a Savings Plans alert subscription. Enable all notification options. Enter,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q8,D,A. Create Amazon RDS automated backups. Set the retention period to 90 days. | B. Create an Amazon RDS manual snapshot every day. Delete manual snapshots | C. Use the Amazon Aurora Clone feature for Oracle to create a point-in-time | D. Create a backup plan that has a retention period of 90 days by using AWS,Design Resilient Architectures,Refer to AWS documentation and best practices
Q9,B,A. Write an AWS Lambda function that schedules nightly snapshots of the | B. Create a backup plan by using AWS Backup to perform nightly backups. Copy | C. Create a backup plan by using AWS Backup to perform nightly backups. Copy | D. Write an AWS Lambda function that schedules nightly snapshots of the,Design Resilient Architectures,Refer to AWS documentation and best practices
Q10,B,A. Implement dynamic scaling with step scaling based on average CPU utilization | B. Enable predictive scaling to forecast and scale. Configure dynamic scaling with | C. Create an automated scheduled scaling action based on the traffic patterns of | D. Set up a simple scaling policy. Increase the cooldown period based on the EC2,Design Secure Architectures,Refer to AWS documentation and best practices
Q11,A,A. Deploy Amazon CloudFront for content delivery and caching. | B. Use AWS DataSync to replicate the video files across AW'S Regions in other | C. Use Amazon Elastic Transcoder to convert the video files to more appropriate | D. Deploy an Auto Sealing group of Amazon EC2 instances in Local Zones for | E. Deploy an Auto Scaling group of Amazon EC2 instances to convert the video,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q12,C,A. Configure AWS Direct Connect to connect to the VPC. Configure the VPC route | B. Create an IAM policy to allow access to the AWS Management Console only | C. Configure AWS Site-to-Site VPN to connect to the VPConfigure route table | D. Configure AWS Transit Gateway to connect to the VPC. Configure route table,Design Secure Architectures,Refer to AWS documentation and best practices
Q13,B,A. Configure S3 Transfer Acceleration on the existing S3 bucket. Direct customer | B. Deploy an Amazon CloudFront distribution with the existing S3 bucket as the | C. Set up a second S3 bucket in the eu-central-1 Region with S3 Cross-Region | D. Modify the web application to enable streaming of the datasets to end users.,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q14,B,A. Store the logs in Amazon S3. Use AWS Backup to move logs more than 1 | B. Store the logs in Amazon S3. Use S3 Lifecycle policies to move logs more than | C. Store the logs in Amazon CloudWatch Logs. Use AWS Backup to move logs | D. Store the logs in Amazon CloudWatch Logs. Use Amazon S3 Lifecycle policies,Design Cost-Optimized Architectures,Refer to AWS documentation and best practices
Q15,C,A. Configure an Amazon CloudFront distribution with an Amazon S3 bucket as the | B. Create Amazon EC2 instances in multiple AWS Regions. Store the player data | C. Deploy an Amazon ElastiCache for Redis duster. Store the player data in the | D. Deploy an Amazon ElastiCache for Memcached duster. Store the player data in,Design High-Performing Architectures,Refer to AWS documentation and best practices
Q16,A,A. Use AWS Systems Manager Session Manager to connect to the EC2 instances. | B. Use AWS Security Token Service (AWS STS) to generate one-time SSH keys | C. Allow shared SSH access to a set of bastion instances. Configure all other | D. Use an Amazon Cognito custom authorizer to authenticate users. Invoke an,Design Secure Architectures,Refer to AWS documentation and best practices
Q17,C,A. Migrate the database to Amazon Aurora with Aurora Replicas. | B. Migrate the database to Amazon DynamoDB with global tables. | C. Add an Amazon ElastiCache for Redis layer in front of the database. | D. Add an Amazon ElastiCache for Memcached layer in front of the database.,Design High-Performing Architectures,Refer to AWS documentation and best practices
